CountryName_Clean,Region
Nigeria,Sub-Saharan Africa
Niue,
North Cyprus,Western Europe
North Korea,
North Macedonia,Central and Eastern Europe
Northern Mariana Islands,
Norway,Western Europe
Oman,
Pakistan,South Asia
Palau,
Palestine,
Palestinian Territories,Middle East and North Africa
Panama,Latin America and Caribbean
Papua New Guinea,
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Philippines,Southeast Asia
Poland,Central and Eastern Europe
Portugal,Western Europe
Puerto Rico,
Qatar,
Réunion,
Republic of the Congo,
Romania,Central and Eastern Europe
Russia,Commonwealth of Independent States
Rwanda,Sub-Saharan Africa
Saint Barthelemy,
Saint Kitts and Nevis,
Saint Lucia,
Saint Martin,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,Middle East and North Africa
Senegal,Sub-Saharan Africa
Serbia,Central and Eastern Europe
Seychelles,
Sierra Leone,Sub-Saharan Africa
Singapore,Southeast Asia
Sint Maarten,
Slovakia,Central and Eastern Europe
Slovenia,Central and Eastern Europe
Solomon Islands,
Somalia,
Somaliland region,
South Africa,Sub-Saharan Africa
South Korea,East Asia
South Sudan,
Spain,Western Europe
Sri Lanka,South Asia
St. Vincent Grenadines,
State of Palestine,
Sudan,
Suriname,
Swaziland,Sub-Saharan Africa
Sweden,Western Europe
Switzerland,Western Europe
Syria,
Taiwan,East Asia
Tajikistan,Commonwealth of Independent States
Tanzania,Sub-Saharan Africa
Thailand,Southeast Asia
Timor-Leste,
Togo,Sub-Saharan Africa
Tonga,
Trinidad and Tobago,
Tunisia,Middle East and North Africa
Turkey,Middle East and North Africa
Turkmenistan,Commonwealth of Independent States
Turks and Caicos,
Tuvalu,
Uganda,Sub-Saharan Africa
Ukraine,Commonwealth of Independent States
United Arab Emirates,Middle East and North Africa
United Kingdom,Western Europe
United States,North America and ANZ
Uruguay,Latin America and Caribbean
Uzbekistan,Commonwealth of Independent States
Vanuatu,
Vatican City,
Venezuela,Latin America and Caribbean
Vietnam,Southeast Asia
Virgin Islands,
Wallis and Futuna,
Western Sahara,
Yemen,Middle East and North Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
